Identifiant,Prénom Nom,2023-06-30',2023-06-09',2023-05-26',2023-04-07',2023-03-17',2023-02-10',2023-01-20',2022-12-16',2022-11-18',2022-10-21',2022-09-23',2022-07-08',2022-06-17,2022-05-19,2022-04-29,2022-04-01,2022-03-04,2022-01-27,2021-12-10,2021-11-19',2021-10-22',2021-09-24',2021-07-08,2021-06-17,2021-05-28,2021-04-23',2021-03-25',2021-02-19',2021-01-22',2020-12-11',2020-11-28',2020-11-13',2020-10-15,2020-09-17,2020-07-15
28,Coline CRAEYE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,-PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
29,Éric LEMAÎTRE,ABS:2,ABS:2,ABS:2,ABS:2,ABS,ABS:27,PRE,PRE,PRE,PRE,PRE,PRE,PRE,-PRE:28,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:28,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:41,PRE,ABS:6,PRE
30,Guy CANNIE,PRE,ABS:31,PRE,ABS:31,PRE,PRE,PRE,ABS:31,PRE,PRE,ABS,PRE,PRE,ABS:38,ABS:31,PRE,PRE,ABS:31,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:38
31,Thibaut FRANÇOIS,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:38,PRE,PRE,ABS:38,PRE,ABS:38,PRE,PRE,PRE,PRE,ABS,ABS:30,PRE-:30,ABS:30,PRE,PRE,PRE,PRE,ABS,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
32,François GUIFFARD,PRE,ABS:6,ABS,ABS,PRE,ABS,PRE,ABS,PRE,PRE,PRE,PRE,ABS:12,PRE,PRE,PRE,PRE,PRE,PRE,-PRE,ABS,PRE,-PRE,PRE,PRE,ABS,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
33,Nathalie APERS,PRE,PRE,PRE,PRE,PRE,PRE,ABS:15,PRE,PRE,ABS:20,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
34,Nadia BONY,PRE,PRE,PRE,PRE,PRE,ABS:2,ABS:2,PRE,PRE,?,PRE,PRE,PRE,ABS:2,PRE,PRE,,,,,,,,,,,,,,,,,,,
35,Mohamed FELOUKI,PRE,PRE,ABS:24,ABS:25,PRE,ABS:28,ABS:27,ABS:28,PRE,PRE,ABS:28,PRE,PRE,PRE,ABS:28,PRE,ABS:28,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS:28,PRE,PRE,PRE,PRE,PRE,ABS:28,PRE,ABS:28,PRE
36,Anissa BOUCHABOUN,PRE,ABS:35,ABS:27,ABS:28,PRE,PRE,ABS:28,-PRE,-PRE,PRE,ABS:24,PRE,PRE,ABS:28,ABS:28,PRE,PRE,,ABS:28,PRE,PRE,PRE,ABS:35,PRE,PRE,ABS:26,PRE,PRE,PRE,ABS:28,PRE,PRE,PRE,PRE,PRE
37,Anne-Sophie AUDEGOND,PRE,ABS:26,PRE,PRE,ABS:35,PRE,ABS:24,ABS:24,PRE,PRE,ABS:26,PRE,PRE,ABS:26,PRE,PRE,ABS:36,PRE,PRE,PRE,ABS:17,PRE,PRE,PRE,PRE,PRE,ABS,PRE,PRE,PRE,PRE,ABS:6,PRE,PRE,PRE
38,Yvette WATTEBLED,PRE,ABS,PRE,PRE,PRE,ABS:31,ABS:31,PRE,PRE,?,ABS:31,PRE,PRE,PRE,PRE,ABS:31,PRE,ABS:31,ABS,PRE,PRE,PRE,PRE,PRE,PRE,ABS:31,ABS:31,ABS:31,ABS:31,ABS:30,ABS:31,ABS:31,PRE,PRE,PRE
39,Jean-Marie DUPIRE,PRE,PRE,PRE,ABS:4,ABS:2,ABS:3,ABS,ABS:9,ABS,ABS:4,ABS:2,ABS:2,,ABS:3,ABS:2,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,ABS,PRE,PRE,PRE,PRE,PRE,PRE,ABS:7,PRE,PRE,PRE,PRE
40,Virginie MALOLEPSZY,ABS:20,,,,,,,,,,,,,,,,ABS:20,-PRE,ABS:15,PRE,PRE,PRE,,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
41,Jessy KABOUL,,,,,,,,,,,,,,,,,,,,,,,ABS:8,PRE,PRE,ABS:10,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE
42,Saliha GRÉVIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABS:28,-PRE,PRE
